,WardCode,Register,ListSize,Prevalence_perc,Year_x,Year_y,Ward,Monitor,Longitude,Latitude,NO2,PM10,DUST
41,E05000516,458.0,13132.0,0.034876637222053,2015,2014,Barnes,RI1,-0.237335,51.480189,37.0,19.0,21.0
42,E05000530,810.0,16753.0,0.048349549334447565,2015,2014,Teddington,TD5,-0.345608290872898,51.4252560360937,,17.0,
43,E05000555,131.0,3686.0,0.03553988062940857,2015,2014,Beddington North,ST5,-0.14166152477989302,51.38928690450499,37.0,20.0,27.0
44,E05000558,423.0,9851.0,0.04293980306567861,2015,2014,Carshalton Central,ST3,-0.165936,51.365318,27.0,,
45,E05000570,1731.0,24738.0,0.06997332039776863,2015,2014,Wallington South,ST4,-0.149723946604927,51.3586596124998,67.0,20.0,16.0
46,E05000614,322.0,7126.0,0.045186640471512766,2015,2014,Fairfield,WA2,-0.191074,51.456962,43.0,,
47,E05000620,523.0,10065.0,0.051962245404868365,2015,2014,Queenstown,WAA,-0.141786953606306,51.47943952812221,47.0,28.0,31.0
48,E05000625,903.0,24689.0,0.03657499291182308,2015,2014,Thamesfield,WA9,-0.21582458094757198,51.4650325059122,41.0,20.0,
49,E05000641,410.0,14439.0,0.028395318235334862,2015,2014,Marylebone High Street,MY7,-0.15459,51.52254,,26.0,
50,E05000644,379.0,12378.0,0.030618839877201487,2015,2014,St James's,WM8,-0.142438820740121,51.497066177578,54.0,,
51,E05000646,241.0,6358.0,0.03790500157282165,2015,2014,Vincent Square,WM0,-0.131938,51.494681,46.0,19.0,
52,E05000649,282.0,8751.0,0.03222488858416181,2015,2014,West End,WM6,-0.152792701881935,51.51392874042129,143.0,32.0,
53,E05009325,991.0,19623.0,0.050501961983386835,2015,2014,Lansbury,TH4,-0.008418492656427409,51.515046167401294,59.0,29.0,
54,E05009329,319.0,10685.0,0.02985493682732803,2015,2014,St Dunstan's,TH2,-0.0421550991900347,51.522529486084395,62.0,,
55,E05009378,601.0,13743.0,0.04373135414392782,2015,2014,Hoxton West,HK6,-0.08491,51.526454,67.0,27.0,31.0
56,E05009389,235.0,11106.0,0.021159733477399603,2015,2014,Brompton & Hans Town,KC3,-0.164337605,51.49913951,72.0,,
57,E05009393,394.0,12812.0,0.0307524196066188,2015,2014,Courtfield,KC2,-0.17880946399999997,51.49550391,56.0,26.0,
58,E05009395,341.0,9423.0,0.03618805051469808,2015,2014,Earl's Court,KG2,-0.19364088615894898,51.4894131144322,51.0,,23.0
59,E05009402,461.0,14321.0,0.03219048949095733,2015,2014,Redcliffe,KC5,-0.190863311,51.49019756,93.0,31.0,
60,E05009403,135.0,3971.0,0.033996474439687736,2015,2014,Royal Hospital,KC4,-0.16839712899999998,51.48743685,76.0,,
61,E05009404,335.0,6993.0,0.047905047905047904,2015,2014,St. Helen's,KC7,-0.213492139585065,51.521046747603904,,23.0,
62,E05011107,393.0,8661.0,0.045375822653273286,2015,2014,North Walworth,SK7,-0.0985378910481832,51.492981378800295,50.0,,
